"AGE","SEX","TNM_N_cat","TNM_T_cat","colon_cea","no_metastasis","metastasis","risk_level"
30,"2","N0","T0",1,0.3798,0.6202,"HIGH"
31,"2","N0","T0",1,0.3375,0.6625,"HIGH"
32,"2","N0","T0",1,0.3076,0.6924,"HIGH"
33,"2","N0","T0",1,0.3067,0.6933,"HIGH"
34,"2","N0","T0",1,0.2971,0.7029,"HIGH"
35,"2","N0","T0",1,0.2913,0.7087,"HIGH"
36,"2","N0","T0",1,0.2757,0.7243,"HIGH"
37,"2","N0","T0",1,0.2212,0.7788,"HIGH"
38,"2","N0","T0",1,0.2289,0.7711,"HIGH"
39,"2","N0","T0",1,0.2142,0.7858,"HIGH"
40,"2","N0","T0",1,0.2216,0.7784,"HIGH"
41,"2","N0","T0",1,0.209,0.791,"HIGH"
42,"2","N0","T0",1,0.2081,0.7919,"HIGH"
43,"2","N0","T0",1,0.205,0.795,"HIGH"
44,"2","N0","T0",1,0.2561,0.7439,"HIGH"
45,"2","N0","T0",1,0.2622,0.7378,"HIGH"
46,"2","N0","T0",1,0.2618,0.7382,"HIGH"
47,"2","N0","T0",1,0.3684,0.6316,"HIGH"
48,"2","N0","T0",1,0.2908,0.7092,"HIGH"
49,"2","N0","T0",1,0.4043,0.5957,"HIGH"
50,"2","N0","T0",1,0.3194,0.6806,"HIGH"
51,"2","N0","T0",1,0.3172,0.6828,"HIGH"
52,"2","N0","T0",1,0.307,0.693,"HIGH"
53,"2","N0","T0",1,0.412,0.588,"HIGH"
54,"2","N0","T0",1,0.4097,0.5903,"HIGH"
55,"2","N0","T0",1,0.3601,0.6399,"HIGH"
56,"2","N0","T0",1,0.356,0.644,"HIGH"
57,"2","N0","T0",1,0.3925,0.6075,"HIGH"
58,"2","N0","T0",1,0.3858,0.6142,"HIGH"
59,"2","N0","T0",1,0.3266,0.6734,"HIGH"
60,"2","N0","T0",1,0.3457,0.6543,"HIGH"
61,"2","N0","T0",1,0.3407,0.6593,"HIGH"
62,"2","N0","T0",1,0.3338,0.6662,"HIGH"
63,"2","N0","T0",1,0.3033,0.6967,"HIGH"
64,"2","N0","T0",1,0.3814,0.6186,"HIGH"
65,"2","N0","T0",1,0.3178,0.6822,"HIGH"
66,"2","N0","T0",1,0.4762,0.5238,"HIGH"
