"AGE","SEX","TNM_N_cat","TNM_T_cat","no_metastasis","metastasis","risk_level"
40,"2","N0","T0",0.2462,0.7538,"HIGH"
41,"2","N0","T0",0.2476,0.7524,"HIGH"
42,"2","N0","T0",0.2469,0.7531,"HIGH"
43,"2","N0","T0",0.2469,0.7531,"HIGH"
44,"2","N0","T0",0.3222,0.6778,"HIGH"
45,"2","N0","T0",0.3219,0.6781,"HIGH"
46,"2","N0","T0",0.2579,0.7421,"HIGH"
47,"2","N0","T0",0.2559,0.7441,"HIGH"
48,"2","N0","T0",0.2661,0.7339,"HIGH"
49,"2","N0","T0",0.3204,0.6796,"HIGH"
50,"2","N0","T0",0.3329,0.6671,"HIGH"
51,"2","N0","T0",0.3297,0.6703,"HIGH"
52,"2","N0","T0",0.3238,0.6762,"HIGH"
53,"2","N0","T0",0.3189,0.6811,"HIGH"
54,"2","N0","T0",0.2883,0.7117,"HIGH"
55,"2","N0","T0",0.2956,0.7044,"HIGH"
56,"2","N0","T0",0.2924,0.7076,"HIGH"
57,"2","N0","T0",0.2804,0.7196,"HIGH"
58,"2","N0","T0",0.2936,0.7064,"HIGH"
59,"2","N0","T0",0.2885,0.7115,"HIGH"
60,"2","N0","T0",0.2939,0.7061,"HIGH"
61,"2","N0","T0",0.3128,0.6872,"HIGH"
62,"2","N0","T0",0.3028,0.6972,"HIGH"
63,"2","N0","T0",0.3032,0.6968,"HIGH"
64,"2","N0","T0",0.2823,0.7177,"HIGH"
65,"2","N0","T0",0.2793,0.7207,"HIGH"
66,"2","N0","T0",0.2832,0.7168,"HIGH"
67,"2","N0","T0",0.3204,0.6796,"HIGH"
68,"2","N0","T0",0.2799,0.7201,"HIGH"
69,"2","N0","T0",0.2832,0.7168,"HIGH"
70,"2","N0","T0",0.2776,0.7224,"HIGH"
71,"2","N0","T0",0.2763,0.7237,"HIGH"
72,"2","N0","T0",0.2826,0.7174,"HIGH"
73,"2","N0","T0",0.2723,0.7277,"HIGH"
74,"2","N0","T0",0.2815,0.7185,"HIGH"
75,"2","N0","T0",0.2726,0.7274,"HIGH"
76,"2","N0","T0",0.2777,0.7223,"HIGH"
77,"2","N0","T0",0.3082,0.6918,"HIGH"
78,"2","N0","T0",0.272,0.728,"HIGH"
79,"2","N0","T0",0.3082,0.6918,"HIGH"
80,"2","N0","T0",0.2616,0.7384,"HIGH"
81,"2","N0","T0",0.2199,0.7801,"HIGH"
82,"2","N0","T0",0.2418,0.7582,"HIGH"
83,"2","N0","T0",0.2132,0.7868,"HIGH"
84,"2","N0","T0",0.1723,0.8277,"HIGH"
85,"2","N0","T0",0.168,0.832,"HIGH"
86,"2","N0","T0",0.1809,0.8191,"HIGH"
87,"2","N0","T0",0.1304,0.8696,"HIGH"
88,"2","N0","T0",0.1579,0.8421,"HIGH"
89,"2","N0","T0",0.1578,0.8422,"HIGH"
90,"2","N0","T0",0.1585,0.8415,"HIGH"
91,"2","N0","T0",0.1585,0.8415,"HIGH"
92,"2","N0","T0",0.1585,0.8415,"HIGH"
93,"2","N0","T0",0.1585,0.8415,"HIGH"
94,"2","N0","T0",0.1585,0.8415,"HIGH"
95,"2","N0","T0",0.1585,0.8415,"HIGH"
96,"2","N0","T0",0.1585,0.8415,"HIGH"
97,"2","N0","T0",0.1585,0.8415,"HIGH"
98,"2","N0","T0",0.1585,0.8415,"HIGH"
99,"2","N0","T0",0.1585,0.8415,"HIGH"
0,"1","N1","T0",0.4146,0.5854,"HIGH"
1,"1","N1","T0",0.4146,0.5854,"HIGH"
2,"1","N1","T0",0.4146,0.5854,"HIGH"
3,"1","N1","T0",0.4146,0.5854,"HIGH"
4,"1","N1","T0",0.4146,0.5854,"HIGH"
5,"1","N1","T0",0.4146,0.5854,"HIGH"
6,"1","N1","T0",0.4146,0.5854,"HIGH"
7,"1","N1","T0",0.4146,0.5854,"HIGH"
8,"1","N1","T0",0.4146,0.5854,"HIGH"
9,"1","N1","T0",0.4146,0.5854,"HIGH"
10,"1","N1","T0",0.4146,0.5854,"HIGH"
11,"1","N1","T0",0.4146,0.5854,"HIGH"
12,"1","N1","T0",0.4146,0.5854,"HIGH"
13,"1","N1","T0",0.4146,0.5854,"HIGH"
14,"1","N1","T0",0.4146,0.5854,"HIGH"
15,"1","N1","T0",0.4146,0.5854,"HIGH"
16,"1","N1","T0",0.4146,0.5854,"HIGH"
17,"1","N1","T0",0.4146,0.5854,"HIGH"
18,"1","N1","T0",0.4146,0.5854,"HIGH"
19,"1","N1","T0",0.4146,0.5854,"HIGH"
20,"1","N1","T0",0.4166,0.5834,"HIGH"
21,"1","N1","T0",0.4206,0.5794,"HIGH"
22,"1","N1","T0",0.4286,0.5714,"HIGH"
23,"1","N1","T0",0.4272,0.5728,"HIGH"
24,"1","N1","T0",0.4287,0.5713,"HIGH"
25,"1","N1","T0",0.4066,0.5934,"HIGH"
26,"1","N1","T0",0.4087,0.5913,"HIGH"
27,"1","N1","T0",0.4033,0.5967,"HIGH"
28,"1","N1","T0",0.3912,0.6088,"HIGH"
29,"1","N1","T0",0.3834,0.6166,"HIGH"
30,"1","N1","T0",0.3889,0.6111,"HIGH"
31,"1","N1","T0",0.383,0.617,"HIGH"
32,"1","N1","T0",0.3889,0.6111,"HIGH"
33,"1","N1","T0",0.3785,0.6215,"HIGH"
34,"1","N1","T0",0.3734,0.6266,"HIGH"
35,"1","N1","T0",0.3726,0.6274,"HIGH"
36,"1","N1","T0",0.3766,0.6234,"HIGH"
37,"1","N1","T0",0.3772,0.6228,"HIGH"
38,"1","N1","T0",0.3819,0.6181,"HIGH"
39,"1","N1","T0",0.381,0.619,"HIGH"
40,"1","N1","T0",0.3856,0.6144,"HIGH"
41,"1","N1","T0",0.4198,0.5802,"HIGH"
42,"1","N1","T0",0.411,0.589,"HIGH"
43,"1","N1","T0",0.4072,0.5928,"HIGH"
44,"1","N1","T0",0.3333,0.6667,"HIGH"
45,"1","N1","T0",0.2906,0.7094,"HIGH"
46,"1","N1","T0",0.2796,0.7204,"HIGH"
47,"1","N1","T0",0.2801,0.7199,"HIGH"
48,"1","N1","T0",0.2958,0.7042,"HIGH"
49,"1","N1","T0",0.3315,0.6685,"HIGH"
50,"1","N1","T0",0.3651,0.6349,"HIGH"
51,"1","N1","T0",0.4159,0.5841,"HIGH"
52,"1","N1","T0",0.3429,0.6571,"HIGH"
53,"1","N1","T0",0.3223,0.6777,"HIGH"
54,"1","N1","T0",0.3396,0.6604,"HIGH"
55,"1","N1","T0",0.3363,0.6637,"HIGH"
56,"1","N1","T0",0.2896,0.7104,"HIGH"
57,"1","N1","T0",0.2879,0.7121,"HIGH"
