"AGE","SEX","TNM_N_cat","TNM_T_cat","no_metastasis","metastasis","risk_level"
4,"2","N1","T0",0.4032,0.5968,"HIGH"
5,"2","N1","T0",0.4032,0.5968,"HIGH"
6,"2","N1","T0",0.4032,0.5968,"HIGH"
7,"2","N1","T0",0.4032,0.5968,"HIGH"
8,"2","N1","T0",0.4032,0.5968,"HIGH"
9,"2","N1","T0",0.4032,0.5968,"HIGH"
10,"2","N1","T0",0.4032,0.5968,"HIGH"
11,"2","N1","T0",0.4032,0.5968,"HIGH"
12,"2","N1","T0",0.4032,0.5968,"HIGH"
13,"2","N1","T0",0.4032,0.5968,"HIGH"
14,"2","N1","T0",0.4032,0.5968,"HIGH"
15,"2","N1","T0",0.4032,0.5968,"HIGH"
16,"2","N1","T0",0.4032,0.5968,"HIGH"
17,"2","N1","T0",0.4032,0.5968,"HIGH"
18,"2","N1","T0",0.4032,0.5968,"HIGH"
19,"2","N1","T0",0.4032,0.5968,"HIGH"
20,"2","N1","T0",0.3813,0.6187,"HIGH"
21,"2","N1","T0",0.3773,0.6227,"HIGH"
22,"2","N1","T0",0.3773,0.6227,"HIGH"
23,"2","N1","T0",0.3773,0.6227,"HIGH"
24,"2","N1","T0",0.3773,0.6227,"HIGH"
25,"2","N1","T0",0.3773,0.6227,"HIGH"
26,"2","N1","T0",0.3773,0.6227,"HIGH"
27,"2","N1","T0",0.3753,0.6247,"HIGH"
28,"2","N1","T0",0.3832,0.6168,"HIGH"
29,"2","N1","T0",0.4271,0.5729,"HIGH"
30,"2","N1","T0",0.4169,0.5831,"HIGH"
31,"2","N1","T0",0.4168,0.5832,"HIGH"
32,"2","N1","T0",0.4179,0.5821,"HIGH"
33,"2","N1","T0",0.4179,0.5821,"HIGH"
34,"2","N1","T0",0.416,0.584,"HIGH"
35,"2","N1","T0",0.3885,0.6115,"HIGH"
36,"2","N1","T0",0.3704,0.6296,"HIGH"
37,"2","N1","T0",0.3604,0.6396,"HIGH"
38,"2","N1","T0",0.3794,0.6206,"HIGH"
39,"2","N1","T0",0.3833,0.6167,"HIGH"
40,"2","N1","T0",0.3346,0.6654,"HIGH"
41,"2","N1","T0",0.3362,0.6638,"HIGH"
42,"2","N1","T0",0.2963,0.7037,"HIGH"
43,"2","N1","T0",0.2828,0.7172,"HIGH"
44,"2","N1","T0",0.2944,0.7056,"HIGH"
45,"2","N1","T0",0.2939,0.7061,"HIGH"
46,"2","N1","T0",0.2535,0.7465,"HIGH"
47,"2","N1","T0",0.2445,0.7555,"HIGH"
48,"2","N1","T0",0.2501,0.7499,"HIGH"
49,"2","N1","T0",0.3197,0.6803,"HIGH"
50,"2","N1","T0",0.324,0.676,"HIGH"
51,"2","N1","T0",0.3365,0.6635,"HIGH"
52,"2","N1","T0",0.3495,0.6505,"HIGH"
53,"2","N1","T0",0.3277,0.6723,"HIGH"
54,"2","N1","T0",0.3295,0.6705,"HIGH"
55,"2","N1","T0",0.3256,0.6744,"HIGH"
56,"2","N1","T0",0.3025,0.6975,"HIGH"
57,"2","N1","T0",0.2822,0.7178,"HIGH"
58,"2","N1","T0",0.2489,0.7511,"HIGH"
59,"2","N1","T0",0.2501,0.7499,"HIGH"
60,"2","N1","T0",0.2563,0.7437,"HIGH"
61,"2","N1","T0",0.2675,0.7325,"HIGH"
62,"2","N1","T0",0.3103,0.6897,"HIGH"
63,"2","N1","T0",0.31,0.69,"HIGH"
64,"2","N1","T0",0.2763,0.7237,"HIGH"
65,"2","N1","T0",0.2509,0.7491,"HIGH"
66,"2","N1","T0",0.2262,0.7738,"HIGH"
67,"2","N1","T0",0.2598,0.7402,"HIGH"
68,"2","N1","T0",0.2467,0.7533,"HIGH"
69,"2","N1","T0",0.2668,0.7332,"HIGH"
70,"2","N1","T0",0.3021,0.6979,"HIGH"
71,"2","N1","T0",0.3227,0.6773,"HIGH"
72,"2","N1","T0",0.3304,0.6696,"HIGH"
73,"2","N1","T0",0.3259,0.6741,"HIGH"
74,"2","N1","T0",0.3544,0.6456,"HIGH"
75,"2","N1","T0",0.4339,0.5661,"HIGH"
76,"2","N1","T0",0.4648,0.5352,"HIGH"
77,"2","N1","T0",0.4865,0.5135,"HIGH"
78,"2","N1","T0",0.4551,0.5449,"HIGH"
79,"2","N1","T0",0.478,0.522,"HIGH"
80,"2","N1","T0",0.5275,0.4725,"LOW"
81,"2","N1","T0",0.5221,0.4779,"LOW"
82,"2","N1","T0",0.5283,0.4717,"LOW"
83,"2","N1","T0",0.4972,0.5028,"HIGH"
84,"2","N1","T0",0.5082,0.4918,"LOW"
85,"2","N1","T0",0.584,0.416,"LOW"
86,"2","N1","T0",0.5815,0.4185,"LOW"
87,"2","N1","T0",0.6056,0.3944,"LOW"
88,"2","N1","T0",0.6162,0.3838,"LOW"
89,"2","N1","T0",0.6047,0.3953,"LOW"
90,"2","N1","T0",0.5398,0.4602,"LOW"
91,"2","N1","T0",0.5398,0.4602,"LOW"
92,"2","N1","T0",0.5398,0.4602,"LOW"
93,"2","N1","T0",0.5398,0.4602,"LOW"
94,"2","N1","T0",0.5398,0.4602,"LOW"
95,"2","N1","T0",0.5398,0.4602,"LOW"
96,"2","N1","T0",0.5398,0.4602,"LOW"
97,"2","N1","T0",0.5398,0.4602,"LOW"
98,"2","N1","T0",0.5398,0.4602,"LOW"
99,"2","N1","T0",0.5398,0.4602,"LOW"
0,"1","N2","T0",0.3817,0.6183,"HIGH"
1,"1","N2","T0",0.3817,0.6183,"HIGH"
2,"1","N2","T0",0.3817,0.6183,"HIGH"
3,"1","N2","T0",0.3817,0.6183,"HIGH"
4,"1","N2","T0",0.3817,0.6183,"HIGH"
5,"1","N2","T0",0.3817,0.6183,"HIGH"
6,"1","N2","T0",0.3817,0.6183,"HIGH"
7,"1","N2","T0",0.3817,0.6183,"HIGH"
8,"1","N2","T0",0.3817,0.6183,"HIGH"
9,"1","N2","T0",0.3817,0.6183,"HIGH"
