"AGE","SEX","TNM_N_cat","TNM_T_cat","liver_afp_cat","liver_fs_cat","no_metastasis","metastasis","risk_level"
94,"2","Other/Unknown","T3","Other/Unknown","Fibrosis score 5-6",0.7909,0.2091,"LOW"
95,"2","Other/Unknown","T3","Other/Unknown","Fibrosis score 5-6",0.7909,0.2091,"LOW"
96,"2","Other/Unknown","T3","Other/Unknown","Fibrosis score 5-6",0.7909,0.2091,"LOW"
97,"2","Other/Unknown","T3","Other/Unknown","Fibrosis score 5-6",0.7909,0.2091,"LOW"
98,"2","Other/Unknown","T3","Other/Unknown","Fibrosis score 5-6",0.7909,0.2091,"LOW"
99,"2","Other/Unknown","T3","Other/Unknown","Fibrosis score 5-6",0.7909,0.2091,"LOW"
0,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.5249,0.4751,"LOW"
1,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.5249,0.4751,"LOW"
2,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.5249,0.4751,"LOW"
3,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.5249,0.4751,"LOW"
4,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.5249,0.4751,"LOW"
5,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.5249,0.4751,"LOW"
6,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.5249,0.4751,"LOW"
7,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.5249,0.4751,"LOW"
8,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.5249,0.4751,"LOW"
9,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.5249,0.4751,"LOW"
10,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.5249,0.4751,"LOW"
11,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.5249,0.4751,"LOW"
12,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.5249,0.4751,"LOW"
13,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.5249,0.4751,"LOW"
14,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.5249,0.4751,"LOW"
15,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.5249,0.4751,"LOW"
16,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.5249,0.4751,"LOW"
17,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.5285,0.4715,"LOW"
18,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.5285,0.4715,"LOW"
19,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.5304,0.4696,"LOW"
20,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.5284,0.4716,"LOW"
21,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.5264,0.4736,"LOW"
22,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.5224,0.4776,"LOW"
23,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.503,0.497,"LOW"
24,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.5055,0.4945,"LOW"
25,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.5043,0.4957,"LOW"
26,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.5123,0.4877,"LOW"
27,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.5191,0.4809,"LOW"
28,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.5187,0.4813,"LOW"
29,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.5161,0.4839,"LOW"
30,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.5151,0.4849,"LOW"
31,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.5139,0.4861,"LOW"
32,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.5076,0.4924,"LOW"
33,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.5022,0.4978,"LOW"
34,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.4969,0.5031,"HIGH"
35,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.492,0.508,"HIGH"
36,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.4941,0.5059,"HIGH"
37,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.4922,0.5078,"HIGH"
38,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.4898,0.5102,"HIGH"
39,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.4859,0.5141,"HIGH"
40,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.4767,0.5233,"HIGH"
41,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.4718,0.5282,"HIGH"
42,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.4734,0.5266,"HIGH"
43,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.4819,0.5181,"HIGH"
44,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.4837,0.5163,"HIGH"
45,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.4817,0.5183,"HIGH"
46,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.5145,0.4855,"LOW"
47,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.5263,0.4737,"LOW"
48,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.5461,0.4539,"LOW"
49,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.5679,0.4321,"LOW"
50,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.5966,0.4034,"LOW"
51,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6183,0.3817,"LOW"
52,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6426,0.3574,"LOW"
53,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6693,0.3307,"LOW"
54,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6903,0.3097,"LOW"
55,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7056,0.2944,"LOW"
56,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6105,0.3895,"LOW"
57,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6988,0.3012,"LOW"
58,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6737,0.3263,"LOW"
59,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6022,0.3978,"LOW"
60,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.5805,0.4195,"LOW"
61,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.5789,0.4211,"LOW"
62,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.5815,0.4185,"LOW"
63,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.5568,0.4432,"LOW"
64,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.5428,0.4572,"LOW"
65,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.649,0.351,"LOW"
66,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6459,0.3541,"LOW"
67,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6714,0.3286,"LOW"
68,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6828,0.3172,"LOW"
69,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6802,0.3198,"LOW"
70,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6692,0.3308,"LOW"
71,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6612,0.3388,"LOW"
72,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6555,0.3445,"LOW"
73,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6603,0.3397,"LOW"
74,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6795,0.3205,"LOW"
75,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6952,0.3048,"LOW"
76,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7155,0.2845,"LOW"
77,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7304,0.2696,"LOW"
78,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7538,0.2462,"LOW"
79,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7556,0.2444,"LOW"
80,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.779,0.221,"LOW"
81,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7947,0.2053,"LOW"
82,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7983,0.2017,"LOW"
83,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7998,0.2002,"LOW"
84,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7978,0.2022,"LOW"
85,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7715,0.2285,"LOW"
86,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7715,0.2285,"LOW"
87,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7737,0.2263,"LOW"
88,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7693,0.2307,"LOW"
89,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7672,0.2328,"LOW"
90,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7393,0.2607,"LOW"
91,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7393,0.2607,"LOW"
92,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7393,0.2607,"LOW"
93,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7393,0.2607,"LOW"
94,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7393,0.2607,"LOW"
95,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7393,0.2607,"LOW"
96,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7393,0.2607,"LOW"
97,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7393,0.2607,"LOW"
98,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7393,0.2607,"LOW"
99,"1","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7393,0.2607,"LOW"
0,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6272,0.3728,"LOW"
1,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6272,0.3728,"LOW"
2,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6272,0.3728,"LOW"
3,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6272,0.3728,"LOW"
4,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6272,0.3728,"LOW"
5,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6272,0.3728,"LOW"
6,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6272,0.3728,"LOW"
7,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6272,0.3728,"LOW"
8,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6272,0.3728,"LOW"
9,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6272,0.3728,"LOW"
10,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6272,0.3728,"LOW"
11,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6272,0.3728,"LOW"
12,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6272,0.3728,"LOW"
13,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6272,0.3728,"LOW"
14,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6272,0.3728,"LOW"
15,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6272,0.3728,"LOW"
16,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6272,0.3728,"LOW"
17,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6302,0.3698,"LOW"
18,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6302,0.3698,"LOW"
19,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6314,0.3686,"LOW"
20,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6314,0.3686,"LOW"
21,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6294,0.3706,"LOW"
22,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6274,0.3726,"LOW"
23,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.618,0.382,"LOW"
24,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6214,0.3786,"LOW"
25,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6222,0.3778,"LOW"
26,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6262,0.3738,"LOW"
27,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6242,0.3758,"LOW"
28,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6157,0.3843,"LOW"
29,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6164,0.3836,"LOW"
30,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6144,0.3856,"LOW"
31,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6111,0.3889,"LOW"
32,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6102,0.3898,"LOW"
33,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.607,0.393,"LOW"
34,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.607,0.393,"LOW"
35,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6069,0.3931,"LOW"
36,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6109,0.3891,"LOW"
37,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6119,0.3881,"LOW"
38,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6141,0.3859,"LOW"
39,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6146,0.3854,"LOW"
40,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6161,0.3839,"LOW"
41,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6236,0.3764,"LOW"
42,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6408,0.3592,"LOW"
43,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6569,0.3431,"LOW"
44,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6714,0.3286,"LOW"
45,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6843,0.3157,"LOW"
46,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.708,0.292,"LOW"
47,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7036,0.2964,"LOW"
48,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7235,0.2765,"LOW"
49,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7469,0.2531,"LOW"
50,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7599,0.2401,"LOW"
51,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7753,0.2247,"LOW"
52,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7893,0.2107,"LOW"
53,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.8079,0.1921,"LOW"
54,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.8118,0.1882,"LOW"
55,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.8221,0.1779,"LOW"
56,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.8091,0.1909,"LOW"
57,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.8383,0.1617,"LOW"
58,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.8403,0.1597,"LOW"
59,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.8189,0.1811,"LOW"
60,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.8142,0.1858,"LOW"
61,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.8123,0.1877,"LOW"
62,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.8061,0.1939,"LOW"
63,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7923,0.2077,"LOW"
64,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7781,0.2219,"LOW"
65,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.79,0.21,"LOW"
66,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7809,0.2191,"LOW"
67,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7794,0.2206,"LOW"
68,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7468,0.2532,"LOW"
69,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.713,0.287,"LOW"
70,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6643,0.3357,"LOW"
71,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.62,0.38,"LOW"
72,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.5827,0.4173,"LOW"
73,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6034,0.3966,"LOW"
74,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6414,0.3586,"LOW"
75,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.6845,0.3155,"LOW"
76,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7026,0.2974,"LOW"
77,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7085,0.2915,"LOW"
78,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7267,0.2733,"LOW"
79,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7495,0.2505,"LOW"
80,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.775,0.225,"LOW"
81,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.8009,0.1991,"LOW"
82,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.8083,0.1917,"LOW"
83,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.8077,0.1923,"LOW"
84,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.8127,0.1873,"LOW"
85,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.8073,0.1927,"LOW"
86,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.8121,0.1879,"LOW"
87,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.8142,0.1858,"LOW"
88,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.8048,0.1952,"LOW"
89,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.8006,0.1994,"LOW"
90,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7956,0.2044,"LOW"
91,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7956,0.2044,"LOW"
92,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7956,0.2044,"LOW"
93,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7956,0.2044,"LOW"
94,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7956,0.2044,"LOW"
95,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7956,0.2044,"LOW"
96,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7956,0.2044,"LOW"
97,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7956,0.2044,"LOW"
98,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7956,0.2044,"LOW"
99,"2","N0","T4","Other/Unknown","Fibrosis score 5-6",0.7956,0.2044,"LOW"
0,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.3266,0.6734,"HIGH"
1,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.3266,0.6734,"HIGH"
2,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.3266,0.6734,"HIGH"
3,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.3266,0.6734,"HIGH"
4,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.3266,0.6734,"HIGH"
5,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.3266,0.6734,"HIGH"
6,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.3266,0.6734,"HIGH"
7,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.3266,0.6734,"HIGH"
8,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.3266,0.6734,"HIGH"
9,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.3266,0.6734,"HIGH"
10,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.3266,0.6734,"HIGH"
11,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.3266,0.6734,"HIGH"
12,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.3266,0.6734,"HIGH"
13,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.331,0.669,"HIGH"
14,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.331,0.669,"HIGH"
15,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.335,0.665,"HIGH"
16,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.3385,0.6615,"HIGH"
17,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.348,0.652,"HIGH"
18,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.345,0.655,"HIGH"
19,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.3451,0.6549,"HIGH"
20,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.3431,0.6569,"HIGH"
21,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.3418,0.6582,"HIGH"
22,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.3346,0.6654,"HIGH"
23,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.3351,0.6649,"HIGH"
24,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.3372,0.6628,"HIGH"
25,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.3379,0.6621,"HIGH"
26,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.3422,0.6578,"HIGH"
27,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.3416,0.6584,"HIGH"
28,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.358,0.642,"HIGH"
29,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.363,0.637,"HIGH"
30,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.3752,0.6248,"HIGH"
31,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.3803,0.6197,"HIGH"
32,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.3753,0.6247,"HIGH"
33,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.3775,0.6225,"HIGH"
34,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.3785,0.6215,"HIGH"
35,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.3776,0.6224,"HIGH"
36,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.3776,0.6224,"HIGH"
37,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.3798,0.6202,"HIGH"
38,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.3794,0.6206,"HIGH"
39,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.3815,0.6185,"HIGH"
40,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.3833,0.6167,"HIGH"
41,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.386,0.614,"HIGH"
42,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.3869,0.6131,"HIGH"
43,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.3929,0.6071,"HIGH"
44,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.4006,0.5994,"HIGH"
45,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.4075,0.5925,"HIGH"
46,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.4164,0.5836,"HIGH"
47,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.4189,0.5811,"HIGH"
48,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.4203,0.5797,"HIGH"
49,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.4293,0.5707,"HIGH"
50,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.4316,0.5684,"HIGH"
51,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.4334,0.5666,"HIGH"
52,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.4329,0.5671,"HIGH"
53,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.4287,0.5713,"HIGH"
54,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.4285,0.5715,"HIGH"
55,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.4017,0.5983,"HIGH"
56,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.4945,0.5055,"HIGH"
57,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.6137,0.3863,"LOW"
58,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.5725,0.4275,"LOW"
59,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.534,0.466,"LOW"
60,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.5053,0.4947,"LOW"
61,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.5301,0.4699,"LOW"
62,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.5453,0.4547,"LOW"
63,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.5358,0.4642,"LOW"
64,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.5264,0.4736,"LOW"
65,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.5183,0.4817,"LOW"
66,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.5277,0.4723,"LOW"
67,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.5137,0.4863,"LOW"
68,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.4882,0.5118,"HIGH"
69,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.4819,0.5181,"HIGH"
70,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.4733,0.5267,"HIGH"
71,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.4464,0.5536,"HIGH"
72,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.4518,0.5482,"HIGH"
73,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.4643,0.5357,"HIGH"
74,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.4628,0.5372,"HIGH"
75,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.466,0.534,"HIGH"
76,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.4687,0.5313,"HIGH"
77,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.4566,0.5434,"HIGH"
78,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.451,0.549,"HIGH"
79,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.4581,0.5419,"HIGH"
80,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.4498,0.5502,"HIGH"
81,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.4447,0.5553,"HIGH"
82,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.475,0.525,"HIGH"
83,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.4625,0.5375,"HIGH"
84,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.4608,0.5392,"HIGH"
85,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.4691,0.5309,"HIGH"
86,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.4843,0.5157,"HIGH"
87,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.4805,0.5195,"HIGH"
88,"1","N1","T4","Other/Unknown","Fibrosis score 5-6",0.4806,0.5194,"HIGH"
