"AGE","SEX","TNM_N_cat","TNM_T_cat","liver_afp_cat","liver_fs_cat","no_metastasis","metastasis","risk_level"
54,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.892,0.108,"LOW"
55,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8825,0.1175,"LOW"
56,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8734,0.1266,"LOW"
57,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8685,0.1315,"LOW"
58,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8681,0.1319,"LOW"
59,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8515,0.1485,"LOW"
60,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8326,0.1674,"LOW"
61,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8227,0.1773,"LOW"
62,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.8057,0.1943,"LOW"
63,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.7893,0.2107,"LOW"
64,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.7824,0.2176,"LOW"
65,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.7719,0.2281,"LOW"
66,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.7531,0.2469,"LOW"
67,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.7353,0.2647,"LOW"
68,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.6966,0.3034,"LOW"
69,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.6842,0.3158,"LOW"
70,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.6756,0.3244,"LOW"
71,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.6664,0.3336,"LOW"
72,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.6615,0.3385,"LOW"
73,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.6452,0.3548,"LOW"
74,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.6409,0.3591,"LOW"
75,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.6284,0.3716,"LOW"
76,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.6139,0.3861,"LOW"
77,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.605,0.395,"LOW"
78,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.6107,0.3893,"LOW"
79,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.6069,0.3931,"LOW"
80,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.6054,0.3946,"LOW"
81,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.589,0.411,"LOW"
82,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.595,0.405,"LOW"
83,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.6051,0.3949,"LOW"
84,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.6103,0.3897,"LOW"
85,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.6197,0.3803,"LOW"
86,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.6256,0.3744,"LOW"
87,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.6377,0.3623,"LOW"
88,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.6439,0.3561,"LOW"
89,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.6481,0.3519,"LOW"
90,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.6522,0.3478,"LOW"
91,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.6522,0.3478,"LOW"
92,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.6522,0.3478,"LOW"
93,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.6522,0.3478,"LOW"
