"AGE","SEX","TNM_N_cat","TNM_T_cat","retroper_sg_cat","no_metastasis","metastasis","risk_level"
10,"1","N1","T0","1",0.6076,0.3924,"LOW"
11,"1","N1","T0","1",0.6057,0.3943,"LOW"
12,"1","N1","T0","1",0.61,0.39,"LOW"
13,"1","N1","T0","1",0.6102,0.3898,"LOW"
14,"1","N1","T0","1",0.6162,0.3838,"LOW"
15,"1","N1","T0","1",0.6151,0.3849,"LOW"
16,"1","N1","T0","1",0.621,0.379,"LOW"
17,"1","N1","T0","1",0.6236,0.3764,"LOW"
18,"1","N1","T0","1",0.623,0.377,"LOW"
19,"1","N1","T0","1",0.6248,0.3752,"LOW"
20,"1","N1","T0","1",0.6272,0.3728,"LOW"
21,"1","N1","T0","1",0.6301,0.3699,"LOW"
22,"1","N1","T0","1",0.6307,0.3693,"LOW"
23,"1","N1","T0","1",0.6343,0.3657,"LOW"
24,"1","N1","T0","1",0.6332,0.3668,"LOW"
25,"1","N1","T0","1",0.6371,0.3629,"LOW"
26,"1","N1","T0","1",0.6386,0.3614,"LOW"
27,"1","N1","T0","1",0.6381,0.3619,"LOW"
28,"1","N1","T0","1",0.6411,0.3589,"LOW"
29,"1","N1","T0","1",0.6424,0.3576,"LOW"
30,"1","N1","T0","1",0.6422,0.3578,"LOW"
31,"1","N1","T0","1",0.6422,0.3578,"LOW"
32,"1","N1","T0","1",0.6395,0.3605,"LOW"
33,"1","N1","T0","1",0.6418,0.3582,"LOW"
34,"1","N1","T0","1",0.6408,0.3592,"LOW"
35,"1","N1","T0","1",0.6421,0.3579,"LOW"
36,"1","N1","T0","1",0.6406,0.3594,"LOW"
37,"1","N1","T0","1",0.6366,0.3634,"LOW"
38,"1","N1","T0","1",0.6381,0.3619,"LOW"
39,"1","N1","T0","1",0.6336,0.3664,"LOW"
40,"1","N1","T0","1",0.6333,0.3667,"LOW"
41,"1","N1","T0","1",0.6347,0.3653,"LOW"
42,"1","N1","T0","1",0.634,0.366,"LOW"
43,"1","N1","T0","1",0.6349,0.3651,"LOW"
44,"1","N1","T0","1",0.6311,0.3689,"LOW"
45,"1","N1","T0","1",0.6314,0.3686,"LOW"
46,"1","N1","T0","1",0.6329,0.3671,"LOW"
47,"1","N1","T0","1",0.6386,0.3614,"LOW"
48,"1","N1","T0","1",0.638,0.362,"LOW"
49,"1","N1","T0","1",0.633,0.367,"LOW"
50,"1","N1","T0","1",0.6309,0.3691,"LOW"
51,"1","N1","T0","1",0.6309,0.3691,"LOW"
52,"1","N1","T0","1",0.6292,0.3708,"LOW"
53,"1","N1","T0","1",0.6302,0.3698,"LOW"
54,"1","N1","T0","1",0.6301,0.3699,"LOW"
55,"1","N1","T0","1",0.6282,0.3718,"LOW"
56,"1","N1","T0","1",0.6265,0.3735,"LOW"
57,"1","N1","T0","1",0.6261,0.3739,"LOW"
58,"1","N1","T0","1",0.626,0.374,"LOW"
59,"1","N1","T0","1",0.626,0.374,"LOW"
60,"1","N1","T0","1",0.6277,0.3723,"LOW"
61,"1","N1","T0","1",0.6291,0.3709,"LOW"
62,"1","N1","T0","1",0.6273,0.3727,"LOW"
63,"1","N1","T0","1",0.6267,0.3733,"LOW"
64,"1","N1","T0","1",0.6285,0.3715,"LOW"
65,"1","N1","T0","1",0.6281,0.3719,"LOW"
66,"1","N1","T0","1",0.6304,0.3696,"LOW"
67,"1","N1","T0","1",0.6284,0.3716,"LOW"
68,"1","N1","T0","1",0.6264,0.3736,"LOW"
69,"1","N1","T0","1",0.6259,0.3741,"LOW"
70,"1","N1","T0","1",0.6334,0.3666,"LOW"
71,"1","N1","T0","1",0.6334,0.3666,"LOW"
72,"1","N1","T0","1",0.6333,0.3667,"LOW"
73,"1","N1","T0","1",0.6355,0.3645,"LOW"
74,"1","N1","T0","1",0.6354,0.3646,"LOW"
75,"1","N1","T0","1",0.6336,0.3664,"LOW"
76,"1","N1","T0","1",0.6316,0.3684,"LOW"
77,"1","N1","T0","1",0.6263,0.3737,"LOW"
78,"1","N1","T0","1",0.6264,0.3736,"LOW"
79,"1","N1","T0","1",0.6257,0.3743,"LOW"
80,"1","N1","T0","1",0.6264,0.3736,"LOW"
81,"1","N1","T0","1",0.6245,0.3755,"LOW"
82,"1","N1","T0","1",0.6271,0.3729,"LOW"
83,"1","N1","T0","1",0.6313,0.3687,"LOW"
84,"1","N1","T0","1",0.6281,0.3719,"LOW"
85,"1","N1","T0","1",0.6253,0.3747,"LOW"
86,"1","N1","T0","1",0.631,0.369,"LOW"
